race,strength,weakness
Humano,"O Humano é naturalmente mais curioso que a maioria, isso faz com que você tenha 1 conhecimento a mais.","O Ser Humano só possui um benefício e sejamos sinceros, nos adaptamos a tudo que existe, não temos Fraquezas, a não ser Baratas Voadoras"
Elfo,"Elfos tem uma espécie de Sangue Azul pra Mana, eles recuperam 3 PE a cada 1 hora.",Se você não contar o Ego Inflado. Eles não tem Fraquezas
Anão,"Anões recebem -2 de dano causado por Venenos, Comidas Estragadas e Comidas Nocivas. Caso aplique Efeitos, doses pequenas não o afetam","Infelizmente anões não vieram a esse mundo perfeitinhos, por estarem acostumados as suas condições bruscas, ao girar testes de Delicadeza, gire dois dados e peque o menor"
Gnomo,"Gnomos são discretos e engenhosos, o Teste de Percepção para encontrar um Gnomo é considerado Difícil. Por conta de suas mentes inquietas, testes para Fabricar algo são considerados Fáceis (exceto máquinas)","O Instinto de Sobrevivência surge ao estar perto da morte, sobre efeito Assustado, o Gnomo só pode fugir, sem tomar outras ações, além de serem empurrados mais facilmente."
Fada,"Fadas podem voar né, olha que legal, como fada você pode levantar até 10 metros no ar, enquanto faz não pode estar carregando objetos muito pesados, significa algo de peso semelhante ou maior ao seu. (Como Personagens, animais, monstros, etc.). Fadas tem um fator encantador nelas, escolha um entre os Testes de Encantar, Negociar ou Enganar para receber dois dados e pegar o maior. (Vantagens não acumulam com conhecimentos)","Fadas são delicadas como flores, isso significa que testes adversários para te Agarrar e Empurrar são considerados Fáceis."
Gigante,"Filhos da Neve, Gigantes recebem - 3 de Dano de Frio, o Tamanho Compensa, Gigantes tem naturalmente +3 espaços de Inventario.","Alguém aqui nunca tomou choque no chuveiro, não é como se eles tivessem eletricidade também, Gigantes tomam +3 de Dano Elétrico."
Ruído,"Obviamente, você vem de debaixo da Terra, você tem visão no escuro, uma conexão misteriosa está no seu sangue, você toma -3 de Dano Sinistro","Criaturas da Noite não se dão bem de Dia, ou talvez você só seja viciado em videogame, toque uma grama. Caso Ruídos deixem seus corpos expostos (Não utilizar roupas, usar tecidos transparentes ou não cobrir a cabeça durante sol ardente, ruídos tem -1 em todos os testes."
Goblin,"Você veio do Subsolo, você tem visão no escuro, você tem um olfato apurado ou talvez só uma nareba muito grande, você pode sentir cheiros a distância, e rastrear sua origem com facilidade, tão bem quanto dizer o que pode ser.","Goblins também são sensíveis ou só frouxos. Quando não está utilizando armadura, ataques de corte causam +3 de dano."
Orc,"Mostre a eles o monstro que você é. Você pode girar Força para o teste Intimidar. Casca Grossa, Cérebro Mole. Você recebe -2 de Dano de Impacto.","“Ork não conhece Fraqueza, Ork sempre Forte” quem dera fosse assim. Orcs não podem Fugir de Lutas. (Combates ou Competições) e devem ir até o fim deles."
Troll,"No topo da cadeia alimentar, seu primeiro ataque contra um inimigo +5 de dano. Imparável como um touro, você ganha +1 em Ações de Luta","Sem Jeito ou Sem Noção, você pode escolher entre os Testes de Roubar ou Concentrar para girar dois dados e pegar o menor."
